bìu	b i w ˨˩
bí	b i ˧˥
bích	b i k̚ ˧˥
bít	b i t̚ ˧˥
bò	b ɔ ˨˩
bòn	b ɔ n ˨˩
bòng	b ɔ ŋ̚ ˨˩
bó	b ɔ ˧˥
bóc	b ɔ k̚ ˧˥
bói	b ɔ j ˧˥
bón	b ɔ n ˧˥
bóng	b ɔ ŋ̚ ˧˥
bóp	b ɔ p̚ ˧˥
bô	b o ˧
bôi	b o j ˧
bôn	b o n ˧
bông	b o ŋ̚ ˧
bõm	b ɔ m ˧˥ʔ
bù	b u ˨˩
bùa	b u a ˨˩
bùi	b u j ˨˩
bùn	b u n ˨˩
bùng	b u ŋ̚ ˨˩
bú	b u ˧˥
búa	b u a ˧˥
búi	b u j ˧˥
bún	b u n ˧˥
búng	b u ŋ̚ ˧˥
búp	b u p̚ ˧˥
bút	b u t̚ ˧˥
băm	b ɐ m ˧
băn	b ɐ n ˧
băng	b ɐ ŋ̚ ˧
bĩ	b i ˧˥ʔ
bơ	b ɤ ˧
bơi	b ɤ j ˧
bơm	b ɤ m ˧
bưng	b ɯ ŋ̚ ˧
bưu	b ɯ w ˧
bươu	b ɯ ɤ w ˧
bước	b ɯ ɤ k̚ ˧˥
bướm	b ɯ ɤ m ˧˥
bướng	b ɯ ɤ ŋ̚ ˧˥
bướu	b ɯ ɤ w ˧˥
bưởi	b ɯ ɤ j ˧˩˧
bạ	b a ˨˩ʔ
bạc	b a k̚ ˨˩ʔ
bạch	b a k̚ ˨˩ʔ
bại	b a j ˨˩ʔ
bạn	b a n ˨˩ʔ
bạnh	b a ɲ̚ ˨˩ʔ
bạo	b a w ˨˩ʔ
bạt	b a t̚ ˨˩ʔ
bả	b a ˧˩˧
bản	b a n ˧˩˧
bảng	b a ŋ̚ ˧˩˧
bảnh	b a ɲ̚ ˧˩˧
bảo	b a w ˧˩˧
bảy	b a j ˧˩˧
bấc	b ə k̚ ˧˥
bấm	b ə m ˧˥
bấn	b ə n ˧˥
bấp	b ə p̚ ˧˥
bất	b ə t̚ ˧˥
bấy	b ə j ˧˥
bầm	b ə m ˨˩
bần	b ə n ˨˩
bầu	b ə w ˨˩
bầy	b ə j ˨˩
bẩm	b ə m ˧˩˧
bẩn	b ə n ˧˩˧
bẩy	b ə j ˧˩˧
bẫm	b ə m ˧˥ʔ
bẫy	b ə j ˧˥ʔ
bậc	b ə k̚ ˨˩ʔ
bận	b ə n ˨˩ʔ
bập	b ə p̚ ˨˩ʔ
bật	b ə t̚ ˨˩ʔ
bậy	b ə j ˨˩ʔ
bắc	b ɐ k̚ ˧˥
bắn	b ɐ n ˧˥
bắp	b ɐ p̚ ˧˥
bắt	b ɐ t̚ ˧˥
bằm	b ɐ m ˨˩
bằng	b ɐ ŋ̚ ˨˩
bặm	b ɐ m ˨˩ʔ
bặt	b ɐ t̚ ˨˩ʔ
bẹ	b ɛ ˨˩ʔ
bẹn	b ɛ n ˨˩ʔ
bẹp	b ɛ p̚ ˨˩ʔ
bẹt	b ɛ t̚ ˨˩ʔ
bẻ	b ɛ ˧˩˧
bẽ	b ɛ ˧˥ʔ
bẽo	b ɛ w ˧˥ʔ
bế	b e ˧˥
bến	b e n ˧˥
bếp	b e p̚ ˧˥
bết	b e t̚ ˧˥
bề	b e ˨˩
bền	b e n ˨˩
bềnh	b e ɲ̚ ˨˩
bể	b e ˧˩˧
bệ	b e ˨˩ʔ
bệnh	b e ɲ̚ ˨˩ʔ
bệt	b e t̚ ˨˩ʔ
bỉ	b i ˧˩˧
bỉm	b i m ˧˩˧
bỉnh	b i ɲ̚ ˧˩˧
bỉu	b i w ˧˩˧
bị	b i ˨˩ʔ
bịa	b i a ˨˩ʔ
bịch	b i k̚ ˨˩ʔ
bịp	b i p̚ ˨˩ʔ
bịt	b i t̚ ˨˩ʔ
bịu	b i w ˨˩ʔ
bọ	b ɔ ˨˩ʔ
bọc	b ɔ k̚ ˨˩ʔ
bọn	b ɔ n ˨˩ʔ
bọng	b ɔ ŋ̚ ˨˩ʔ
bọt	b ɔ t̚ ˨˩ʔ
bỏ	b ɔ ˧˩˧
bỏng	b ɔ ŋ̚ ˧˩˧
bố	b o ˧˥
bốc	b o k̚ ˧˥
bối	b o j ˧˥
bốn	b o n ˧˥
bốt	b o t̚ ˧˥
bồ	b o ˨˩
bồi	b o j ˨˩
bồn	b o n ˨˩
bồng	b o ŋ̚ ˨˩
bổ	b o ˧˩˧
bổn	b o n ˧˩˧
bổng	b o ŋ̚ ˧˩˧
bỗng	b o ŋ̚ ˧˥ʔ
bộ	b o ˨˩ʔ
bộc	b o k̚ ˨˩ʔ
bội	b o j ˨˩ʔ
bột	b o t̚ ˨˩ʔ
bới	b ɤ j ˧˥
bớt	b ɤ t̚ ˧˥
bờ	b ɤ ˨˩
bời	b ɤ j ˨˩
bở	b ɤ ˧˩˧
bởi	b ɤ j ˧˩˧
bụ	b u ˨˩ʔ
bục	b u k̚ ˨˩ʔ
bụi	b u j ˨˩ʔ
bụng	b u ŋ̚ ˨˩ʔ
bụp	b u p̚ ˨˩ʔ
bụt	b u t̚ ˨˩ʔ
bủa	b u a ˧˩˧
bức	b ɯ k̚ ˧˥
bứt	b ɯ t̚ ˧˥
bừa	b ɯ a ˨˩
bừng	b ɯ ŋ̚ ˨˩
bửu	b ɯ w ˧˩˧
bữa	b ɯ a ˧˥ʔ
bự	b ɯ ˨˩ʔ
bực	b ɯ k̚ ˨˩ʔ
c	spn
ca	k a ˧
cai	k a j ˧
calo	k a w ˧
cam	k a m ˧
can	k a n ˧
canh	k a ɲ̚ ˧
canxi	k a j ˧
cao	k a w ˧
casino	k a i w ˧
cau	k a w ˧
cay	k a j ˧
cha	tɕ a ˧
chai	tɕ a j ˧
chan	tɕ a n ˧
chanh	tɕ a ɲ̚ ˧
chao	tɕ a w ˧
chau	tɕ a w ˧
chay	tɕ a j ˧
che	tɕ ɛ ˧
chen	tɕ ɛ n ˧
cheo	tɕ ɛ w ˧
chi	tɕ i ˧
chia	tɕ i a ˧
chim	tɕ i m ˧
chinh	tɕ i ɲ̚ ˧
chiu	tɕ i w ˧
chiêm	tɕ i e m ˧
chiên	tɕ i e n ˧
chiêng	tɕ i e ŋ̚ ˧
chiêu	tɕ i e w ˧
chiếc	tɕ i e k̚ ˧˥
chiếm	tɕ i e m ˧˥
chiến	tɕ i e n ˧˥
chiết	tɕ i e t̚ ˧˥
chiếu	tɕ i e w ˧˥
chiều	tɕ i e w ˨˩
chiểu	tɕ i e w ˧˩˧
cho	tɕ ɔ ˧
choang	tɕ ɔ a ŋ̚ ˧
choi	tɕ ɔ j ˧
chon	tɕ ɔ n ˧
choàng	tɕ ɔ a ŋ̚ ˨˩
choán	tɕ ɔ a n ˧˥
choáng	tɕ ɔ a ŋ̚ ˧˥
chu	tɕ u ˧
chua	tɕ u a ˧
chui	tɕ u j ˧
chun	tɕ u n ˧
chung	tɕ u ŋ̚ ˧
chuyên	tɕ u i e n ˧
chuyến	tɕ u i e n ˧˥
chuyền	tɕ u i e n ˨˩
chuyển	tɕ u i e n ˧˩˧
chuyện	tɕ u i e n ˨˩ʔ
chuông	tɕ u o ŋ̚ ˧
chuẩn	tɕ u ə n ˧˩˧
chuốc	tɕ u o k̚ ˧˥
chuối	tɕ u o j ˧˥
chuốt	tɕ u o t̚ ˧˥
chuồn	tɕ u o n ˨˩
chuồng	tɕ u o ŋ̚ ˨˩
chuỗi	tɕ u o j ˧˥ʔ
chuộc	tɕ u o k̚ ˨˩ʔ
chuộng	tɕ u o ŋ̚ ˨˩ʔ
chuột	tɕ u o t̚ ˨˩ʔ
chà	tɕ a ˨˩
chài	tɕ a j ˨˩
chàm	tɕ a m ˨˩
chàng	tɕ a ŋ̚ ˨˩
chành	tɕ a ɲ̚ ˨˩
chào	tɕ a w ˨˩
chác	tɕ a k̚ ˧˥
chán	tɕ a n ˧˥
chánh	tɕ a ɲ̚ ˧˥
cháo	tɕ a w ˧˥
chát	tɕ a t̚ ˧˥
cháu	tɕ a w ˧˥
cháy	tɕ a j ˧˥
châm	tɕ ə m ˧
chân	tɕ ə n ˧
châu	tɕ ə w ˧
chãi	tɕ a j ˧˥ʔ
chè	tɕ ɛ ˨˩
chèn	tɕ ɛ n ˨˩
chèo	tɕ ɛ w ˨˩
chém	tɕ ɛ m ˧˥
chén	tɕ ɛ n ˧˥
chéo	tɕ ɛ w ˧˥
chép	tɕ ɛ p̚ ˧˥
chét	tɕ ɛ t̚ ˧˥
chê	tɕ e ˧
chênh	tɕ e ɲ̚ ˧
chì	tɕ i ˨˩
chìa	tɕ i a ˨˩
chìm	tɕ i m ˨˩
chình	tɕ i ɲ̚ ˨˩
chí	tɕ i ˧˥
chích	tɕ i k̚ ˧˥
chím	tɕ i m ˧˥
chín	tɕ i n ˧˥
chính	tɕ i ɲ̚ ˧˥
chít	tɕ i t̚ ˧˥
chòi	tɕ ɔ j ˨˩
chòm	tɕ ɔ m ˨˩
chó	tɕ ɔ ˧˥
chóc	tɕ ɔ k̚ ˧˥
chói	tɕ ɔ j ˧˥
chóng	tɕ ɔ ŋ̚ ˧˥
chót	tɕ ɔ t̚ ˧˥
chôm	tɕ o m ˧
chôn	tɕ o n ˧
chông	tɕ o ŋ̚ ˧
chùa	tɕ u a ˨˩
chùi	tɕ u j ˨˩
chùm	tɕ u m ˨˩
chùng	tɕ u ŋ̚ ˨˩
chú	tɕ u ˧˥
chúa	tɕ u a ˧˥
chúc	tɕ u k̚ ˧˥
chúm	tɕ u m ˧˥
chúng	tɕ u ŋ̚ ˧˥
chút	tɕ u t̚ ˧˥
chăm	tɕ ɐ m ˧
chăn	tɕ ɐ n ˧
chăng	tɕ ɐ ŋ̚ ˧
chĩa	tɕ i a ˧˥ʔ
chơ	tɕ ɤ ˧
chơi	tɕ ɤ j ˧
chư	tɕ ɯ ˧
chưa	tɕ ɯ a ˧
chưng	tɕ ɯ ŋ̚ ˧
chương	tɕ ɯ ɤ ŋ̚ ˧
chước	tɕ ɯ ɤ k̚ ˧˥
chướng	tɕ ɯ ɤ ŋ̚ ˧˥
chườm	tɕ ɯ ɤ m ˨˩
chường	tɕ ɯ ɤ ŋ̚ ˨˩
chưởng	tɕ ɯ ɤ ŋ̚ ˧˩˧
chạc	tɕ a k̚ ˨˩ʔ
chạm	tɕ a m ˨˩ʔ
chạp	tɕ a p̚ ˨˩ʔ
chạy	tɕ a j ˨˩ʔ
chả	tɕ a ˧˩˧
chải	tɕ a j ˧˩˧
chảnh	tɕ a ɲ̚ ˧˩˧
chảo	tɕ a w ˧˩˧
chảy	tɕ a j ˧˩˧
chấm	tɕ ə m ˧˥
chấn	tɕ ə n ˧˥
chấp	tɕ ə p̚ ˧˥
chất	tɕ ə t̚ ˧˥
chầm	tɕ ə m ˨˩
chần	tɕ ə n ˨˩
chẩn	tɕ ə n ˧˩˧
chậm	tɕ ə m ˨˩ʔ
chập	tɕ ə p̚ ˨˩ʔ
chật	tɕ ə t̚ ˨˩ʔ
chậu	tɕ ə w ˨˩ʔ
chắc	tɕ ɐ k̚ ˧˥
chắn	tɕ ɐ n ˧˥
chắp	tɕ ɐ p̚ ˧˥
chắt	tɕ ɐ t̚ ˧˥
chằm	tɕ ɐ m ˨˩
chằng	tɕ ɐ ŋ̚ ˨˩
chẳng	tɕ ɐ ŋ̚ ˧˩˧
chặn	tɕ ɐ n ˨˩ʔ
chặng	tɕ ɐ ŋ̚ ˨˩ʔ
chặt	tɕ ɐ t̚ ˨˩ʔ
chẻ	tɕ ɛ ˧˩˧
chẽ	tɕ ɛ ˧˥ʔ
chế	tɕ e ˧˥
chếch	tɕ e k̚ ˧˥
chết	tɕ e t̚ ˧˥
chỉ	tɕ i ˧˩˧
chỉn	tɕ i n ˧˩˧
chỉnh	tɕ i ɲ̚ ˧˩˧
chị	tɕ i ˨˩ʔ
chịt	tɕ i t̚ ˨˩ʔ
chịu	tɕ i w ˨˩ʔ
chọc	tɕ ɔ k̚ ˨˩ʔ
chọi	tɕ ɔ j ˨˩ʔ
chọn	tɕ ɔ n ˨˩ʔ
chỏng	tɕ ɔ ŋ̚ ˧˩˧
chốc	tɕ o k̚ ˧˥
chối	tɕ o j ˧˥
chốn	tɕ o n ˧˥
chống	tɕ o ŋ̚ ˧˥
chốt	tɕ o t̚ ˧˥
chồm	tɕ o m ˨˩
chồn	tɕ o n ˨˩
chồng	tɕ o ŋ̚ ˨˩
chổi	tɕ o j ˧˩˧
chỗ	tɕ o ˧˥ʔ
chội	tɕ o j ˨˩ʔ
chột	tɕ o t̚ ˨˩ʔ
chớ	tɕ ɤ ˧˥
chớp	tɕ ɤ p̚ ˧˥
chờ	tɕ ɤ ˨˩
chở	tɕ ɤ ˧˩˧
chợ	tɕ ɤ ˨˩ʔ
chợt	tɕ ɤ t̚ ˨˩ʔ
chục	tɕ u k̚ ˨˩ʔ
chụm	tɕ u m ˨˩ʔ
chụp	tɕ u p̚ ˨˩ʔ
chủ	tɕ u ˧˩˧
chủng	tɕ u ŋ̚ ˧˩˧
chứ	tɕ ɯ ˧˥
chứa	tɕ ɯ a ˧˥
chức	tɕ ɯ k̚ ˧˥
chứng	tɕ ɯ ŋ̚ ˧˥
chừ	tɕ ɯ ˨˩
chừa	tɕ ɯ a ˨˩
chừng	tɕ ɯ ŋ̚ ˨˩
chửa	tɕ ɯ a ˧˩˧
chửi	tɕ ɯ j ˧˩˧
chửng	tɕ ɯ ŋ̚ ˧˩˧
chữ	tɕ ɯ ˧˥ʔ
chữa	tɕ ɯ a ˧˥ʔ
chững	tɕ ɯ ŋ̚ ˧˥ʔ
co	k ɔ ˧
coca	k ɔ a ˧
coi	k ɔ j ˧
com	k ɔ m ˧
con	k ɔ n ˧
cong	k ɔ ŋ̚ ˧
cs	spn
cu	k u ˧
cua	k u a ˧
cung	k u ŋ̚ ˧
cuông	k u o ŋ̚ ˧
cuốc	k u o k̚ ˧˥
cuối	k u o j ˧˥
cuốn	k u o n ˧˥
cuống	k u o ŋ̚ ˧˥
cuồn	k u o n ˨˩
cuồng	k u o ŋ̚ ˨˩
cuộc	k u o k̚ ˨˩ʔ
cuội	k u o j ˨˩ʔ
cuộn	k u o n ˨˩ʔ
cà	k a ˨˩
cài	k a j ˨˩
càn	k a n ˨˩
càng	k a ŋ̚ ˨˩
cành	k a ɲ̚ ˨˩
cào	k a w ˨˩
càu	k a w ˨˩
cày	k a j ˨˩
cá	k a ˧˥
các	k a k̚ ˧˥
cách	k a k̚ ˧˥
cái	k a j ˧˥
cám	k a m ˧˥
cán	k a n ˧˥
cáng	k a ŋ̚ ˧˥
cánh	k a ɲ̚ ˧˥
cáo	k a w ˧˥
cáp	k a p̚ ˧˥
cát	k a t̚ ˧˥
cáu	k a w ˧˥
câm	k ə m ˧
cân	k ə n ˧
câu	k ə w ˧
cây	k ə j ˧
cãi	k a j ˧˥ʔ
cò	k ɔ ˨˩
còi	k ɔ j ˨˩
còm	k ɔ m ˨˩
còn	k ɔ n ˨˩
còng	k ɔ ŋ̚ ˨˩
có	k ɔ ˧˥
cóc	k ɔ k̚ ˧˥
cóng	k ɔ ŋ̚ ˧˥
cóp	k ɔ p̚ ˧˥
cô	k o ˧
côi	k o j ˧
côn	k o n ˧
công	k o ŋ̚ ˧
cõi	k ɔ j ˧˥ʔ
cõng	k ɔ ŋ̚ ˧˥ʔ
cù	k u ˨˩
cùa	k u a ˨˩
cùm	k u m ˨˩
cùng	k u ŋ̚ ˨˩
cú	k u ˧˥
cúc	k u k̚ ˧˥
cúi	k u j ˧˥
cúm	k u m ˧˥
cún	k u n ˧˥
cúng	k u ŋ̚ ˧˥
cúp	k u p̚ ˧˥
cút	k u t̚ ˧˥
căm	k ɐ m ˧
căn	k ɐ n ˧
căng	k ɐ ŋ̚ ˧
cũ	k u ˧˥ʔ
cũn	k u n ˧˥ʔ
cũng	k u ŋ̚ ˧˥ʔ
cơ	k ɤ ˧
cơi	k ɤ j ˧
cơm	k ɤ m ˧
cơn	k ɤ n ˧
cư	k ɯ ˧
cưa	k ɯ a ˧
cưng	k ɯ ŋ̚ ˧
cưu	k ɯ w ˧
cương	k ɯ ɤ ŋ̚ ˧
cước	k ɯ ɤ k̚ ˧˥
cưới	k ɯ ɤ j ˧˥
cướp	k ɯ ɤ p̚ ˧˥
cười	k ɯ ɤ j ˨˩
cường	k ɯ ɤ ŋ̚ ˨˩
cưỡi	k ɯ ɤ j ˧˥ʔ
cưỡng	k ɯ ɤ ŋ̚ ˧˥ʔ
cược	k ɯ ɤ k̚ ˨˩ʔ
cạc	k a k̚ ˨˩ʔ
cạch	k a k̚ ˨˩ʔ
cạm	k a m ˨˩ʔ
cạn	k a n ˨˩ʔ
cạnh	k a ɲ̚ ˨˩ʔ
cạo	k a w ˨˩ʔ
cạy	k a j ˨˩ʔ
cả	k a ˧˩˧
cải	k a j ˧˩˧
cảm	k a m ˧˩˧
cản	k a n ˧˩˧
cảng	k a ŋ̚ ˧˩˧
cảnh	k a ɲ̚ ˧˩˧
cấm	k ə m ˧˥
cấn	k ə n ˧˥
cấp	k ə p̚ ˧˥
cất	k ə t̚ ˧˥
cấu	k ə w ˧˥
cấy	k ə j ˧˥
cầm	k ə m ˨˩
cần	k ə n ˨˩
cầu	k ə w ˨˩
cầy	k ə j ˨˩
cẩm	k ə m ˧˩˧
cẩn	k ə n ˧˩˧
cẩu	k ə w ˧˩˧
cận	k ə n ˨˩ʔ
cập	k ə p̚ ˨˩ʔ
cậu	k ə w ˨˩ʔ
cậy	k ə j ˨˩ʔ
cắc	k ɐ k̚ ˧˥
cắm	k ɐ m ˧˥
cắn	k ɐ n ˧˥
cắp	k ɐ p̚ ˧˥
cắt	k ɐ t̚ ˧˥
cằm	k ɐ m ˨˩
cằn	k ɐ n ˨˩
cặm	k ɐ m ˨˩ʔ
cặn	k ɐ n ˨˩ʔ
cặp	k ɐ p̚ ˨˩ʔ
cọ	k ɔ ˨˩ʔ
cọc	k ɔ k̚ ˨˩ʔ
cọng	k ɔ ŋ̚ ˨˩ʔ
cỏ	k ɔ ˧˩˧
cỏi	k ɔ j ˧˩˧
cố	k o ˧˥
cốc	k o k̚ ˧˥
cối	k o j ˧˥
cốm	k o m ˧˥
cống	k o ŋ̚ ˧˥
cốp	k o p̚ ˧˥
cốt	k o t̚ ˧˥
cồn	k o n ˨˩
cồng	k o ŋ̚ ˨˩
cổ	k o ˧˩˧
cổng	k o ŋ̚ ˧˩˧
cỗ	k o ˧˥ʔ
cộ	k o ˨˩ʔ
cội	k o j ˨˩ʔ
cộm	k o m ˨˩ʔ
cộng	k o ŋ̚ ˨˩ʔ
cộp	k o p̚ ˨˩ʔ
cột	k o t̚ ˨˩ʔ
cớ	k ɤ ˧˥
cờ	k ɤ ˨˩
cởi	k ɤ j ˧˩˧
cỡ	k ɤ ˧˥ʔ
cỡn	k ɤ n ˧˥ʔ
cợt	k ɤ t̚ ˨˩ʔ
cụ	k u ˨˩ʔ
cục	k u k̚ ˨˩ʔ
cụi	k u j ˨˩ʔ
cụm	k u m ˨˩ʔ
cụp	k u p̚ ˨˩ʔ
cụt	k u t̚ ˨˩ʔ
củ	k u ˧˩˧
của	k u a ˧˩˧
củanh	k u a ɲ̚ ˧˩˧
củi	k u j ˧˩˧
củng	k u ŋ̚ ˧˩˧
cứ	k ɯ ˧˥
cứa	k ɯ a ˧˥
cứng	k ɯ ŋ̚ ˧˥
cứu	k ɯ w ˧˥
cừ	k ɯ ˨˩
cừu	k ɯ w ˨˩
cử	k ɯ ˧˩˧
cửa	k ɯ a ˧˩˧
cửu	k ɯ w ˧˩˧
cữ	k ɯ ˧˥ʔ
cự	k ɯ ˨˩ʔ
cực	k ɯ k̚ ˨˩ʔ
cựu	k ɯ w ˨˩ʔ
d	spn
da	z a ˧
dai	z a j ˧
dang	z a ŋ̚ ˧
danh	z a ɲ̚ ˧
dao	z a w ˧
day	z a j ˧
di	z i ˧
dinh	z i ɲ̚ ˧
diêm	z i e m ˧
diên	z i e n ˧
diêu	z i e w ˧
diếp	z i e p̚ ˧˥
diều	z i e w ˨˩
diễm	z i e m ˧˥ʔ
diễn	z i e n ˧˥ʔ
diễu	z i e w ˧˥ʔ
diệc	z i e k̚ ˨˩ʔ
diện	z i e n ˨˩ʔ
diệp	z i e p̚ ˨˩ʔ
diệt	z i e t̚ ˨˩ʔ
diệu	z i e w ˨˩ʔ
do	z ɔ ˧
doanh	z ɔ a ɲ̚ ˧
dom	z ɔ m ˧
don	z ɔ n ˧
dong	z ɔ ŋ̚ ˧
doãn	z ɔ a n ˧˥ʔ
doạ	z ɔ a ˨˩ʔ
du	z u ˧
dua	z u a ˧
dung	z u ŋ̚ ˧
duy	z u j ˧
duyên	z u i e n ˧
duyệt	z u i e t̚ ˨˩ʔ
duật	z u ə t̚ ˨˩ʔ
duệ	z u e ˨˩ʔ
duỗi	z u o j ˧˥ʔ
dà	z a ˨˩
dài	z a j ˨˩
dàn	z a n ˨˩
dàng	z a ŋ̚ ˨˩
dành	z a ɲ̚ ˨˩
dào	z a w ˨˩
dày	z a j ˨˩
dái	z a j ˧˥
dám	z a m ˧˥
dán	z a n ˧˥
dáng	z a ŋ̚ ˧˥
dát	z a t̚ ˧˥
dâm	z ə m ˧
dân	z ə n ˧
dâng	z ə ŋ̚ ˧
dâu	z ə w ˧
dây	z ə j ˧
dã	z a ˧˥ʔ
dãi	z a j ˧˥ʔ
dãn	z a n ˧˥ʔ
dãy	z a j ˧˥ʔ
dè	z ɛ ˨˩
dép	z ɛ p̚ ˧˥
dê	z e ˧
dên	z e n ˧
dì	z i ˨˩
dìm	z i m ˨˩
dìu	z i w ˨˩
dí	z i ˧˥
dính	z i ɲ̚ ˧˥
dò	z ɔ ˨˩
dòi	z ɔ j ˨˩
dòng	z ɔ ŋ̚ ˨˩
dôi	z o j ˧
dông	z o ŋ̚ ˧
dõi	z ɔ j ˧˥ʔ
dù	z u ˨˩
dùng	z u ŋ̚ ˨˩
dúi	z u j ˧˥
dăm	z ɐ m ˧
dĩ	z i ˧˥ʔ
dĩnh	z i ɲ̚ ˧˥ʔ
dũ	z u ˧˥ʔ
dũa	z u a ˧˥ʔ
dũng	z u ŋ̚ ˧˥ʔ
dơ	z ɤ ˧
dơi	z ɤ j ˧
dư	z ɯ ˧
dưa	z ɯ a ˧
dưng	z ɯ ŋ̚ ˧
dương	z ɯ ɤ ŋ̚ ˧
dưới	z ɯ ɤ j ˧˥
dường	z ɯ ɤ ŋ̚ ˨˩
dưỡng	z ɯ ɤ ŋ̚ ˧˥ʔ
dược	z ɯ ɤ k̚ ˨˩ʔ
dượt	z ɯ ɤ t̚ ˨˩ʔ
dạ	z a ˨˩ʔ
dại	z a j ˨˩ʔ
dạn	z a n ˨˩ʔ
dạng	z a ŋ̚ ˨˩ʔ
dạo	z a w ˨˩ʔ
dạt	z a t̚ ˨˩ʔ
dạy	z a j ˨˩ʔ
dải	z a j ˧˩˧
dấm	z ə m ˧˥
dấn	z ə n ˧˥
dấp	z ə p̚ ˧˥
dấu	z ə w ˧˥
dấy	z ə j ˧˥
dầm	z ə m ˨˩
dần	z ə n ˨˩
dầu	z ə w ˨˩
dẫm	z ə m ˧˥ʔ
dẫn	z ə n ˧˥ʔ
dẫu	z ə w ˧˥ʔ
dập	z ə p̚ ˨˩ʔ
dật	z ə t̚ ˨˩ʔ
dậu	z ə w ˨˩ʔ
dậy	z ə j ˨˩ʔ
dắt	z ɐ t̚ ˧˥
dằn	z ɐ n ˨˩
dằng	z ɐ ŋ̚ ˨˩
dẳng	z ɐ ŋ̚ ˧˩˧
dặc	z ɐ k̚ ˨˩ʔ
dặm	z ɐ m ˨˩ʔ
dặn	z ɐ n ˨˩ʔ
dặt	z ɐ t̚ ˨˩ʔ
dẹp	z ɛ p̚ ˨˩ʔ
dẹt	z ɛ t̚ ˨˩ʔ
dẻ	z ɛ ˧˩˧
dẻo	z ɛ w ˧˩˧
dẽ	z ɛ ˧˥ʔ
dền	z e n ˨˩
dễ	z e ˧˥ʔ
dệt	z e t̚ ˨˩ʔ
dị	z i ˨˩ʔ
dịch	z i k̚ ˨˩ʔ
dịp	z i p̚ ˨˩ʔ
dịu	z i w ˨˩ʔ
dọa	z ɔ a ˨˩ʔ
dọc	z ɔ k̚ ˨˩ʔ
dọn	z ɔ n ˨˩ʔ
dỏm	z ɔ m ˧˩˧
dỏng	z ɔ ŋ̚ ˧˩˧
dốc	z o k̚ ˧˥
dối	z o j ˧˥
dốt	z o t̚ ˧˥
dồi	z o j ˨˩
dồn	z o n ˨˩
dỗ	z o ˧˥ʔ
dỗi	z o j ˧˥ʔ
dội	z o j ˨˩ʔ
dột	z o t̚ ˨˩ʔ
dời	z ɤ j ˨˩
dở	z ɤ ˧˩˧
dởm	z ɤ m ˧˩˧
dỡ	z ɤ ˧˥ʔ
dụ	z u ˨˩ʔ
dục	z u k̚ ˨˩ʔ
dụm	z u m ˨˩ʔ
dụng	z u ŋ̚ ˨˩ʔ
dứa	z ɯ a ˧˥
dứt	z ɯ t̚ ˧˥
dừa	z ɯ a ˨˩
dừng	z ɯ ŋ̚ ˨˩
dửng	z ɯ ŋ̚ ˧˩˧
dữ	z ɯ ˧˥ʔ
